title,content
정신병동 아침,"그 드라마 봤는데 진짜 재밌더라정다은 간호사가 나랑 성격이 너무 비슷해난 저렇게 맑고 햇살 같지는 않지만, 이타적이려고 노력하고 약간 강박이 있다는 점이..."
이런 것도 분조장이야?,분노의 계기가 될만한 일이 있긴 한데 분노의 정도가 많이 심해여친이나 가족 앞에서 욕하고 책상 내려치고씩씩거리면서 내가 주체가 안돼그냥 화남 그 상태 자체가 되는 것 같고화날 때 조용히 있는 여친한테 미안하면서도계속 화가 
잠이 안와,자살하고싶어 힘들어
좆병신,아무것도 안하면서 집에 쳐 박혀서 사회 무서워하는 개병신새끼임 나는 걍 이렇게까지 사회부적응자가 되었다는 게 신기함 그냥 아무도 날 모르고 죽었으면 좋겠어
죽고싶진 않은데,내가 죽었으면 좋겠어
나 좀 도와줘! 상담/병원 가야될까?,"먹토 2년째, 어렸을 때 성추행, 알코올중독(지금은 고침)-알코올중독으로 인한 사건사고(폭행) 인데 그냥 평범하게 사는것 같으면서도 생각이 많아서 항상 머리가 아프고 예민할 때가 많아. 감정이 예민한게 아니라 그냥 갑자기 소리 ㅈㄴ 지르고 싶을 때도 있고 몸이 간지럽다 해야되"
못할 것 같아,그래서 하기싫어..이러면 후엔 아무것도 못할텐데해본들 성장할 수 있긴한거야? 싶고 실패할 것 같아
되게 좋은 애인이랑 한달째인데,규칙적인 생활 개인공부 좋은 직장 등등 내가 닮고 싶은 사람이거든나도 애인 좋아하고 애인도 나를 많이 좋아해주는데 계속 내가 부족한 사람 같고 애인이 나를 안 좋아할 것 같아서 우울해지고 그래. 실제로는 애인이 나를 좋아한다는 걸 알기야 하지. 근데... 그게 지금뿐이고 결국
살면서 이룬게없어,할수있는게 새벽5시에 술까는거밖에 없네
살기싫다,그만살고싶다인생이 너무 길어… 피곤하다 잠도 안오고
